序號,班級,學號,姓名,GitHub,作業一,作業二,作業三,作業四,作業五,作業六,作業七,作業八,作業九,作業十
59,資工系,111C71177,櫻夝蓏,z8fisi67efj,7,6,6,5,6,2,3,7,3,0
60,電資資安,112590676,汗陪呯,t96t3tl7j8h,8,9,5,4,1,2,1,8,5,9
61,資工系,111598155,瓚肆澩,1pq5tlhytnh,3,3,4,4,8,0,8,3,2,7
62,創新AI,112598508,弣龅栂,p8p0hjt8pdg,1,2,1,1,6,9,1,1,0,0
63,創新AI,112598458,劔饐钯,diril35tbk,8,7,1,9,2,2,6,2,1,3
64,資工系,11259055,嗸融瓠,ze3xn1ugy1,9,6,2,3,6,4,3,1,0,3
65,電資資安,111598614,巒盧旧,rsj1w1i4qhg,6,4,1,2,3,1,3,0,7,7
66,電資AI,112C71791,齵遑炤,82epf32xjv,8,8,8,1,7,2,0,2,2,1
67,資工所,111C53148,薮啩鯑,4lkv6pvhow,8,3,8,8,7,5,5,1,9,6
68,資工所,111C71183,礹彌湻,ju9z1wiapq,1,8,8,3,8,2,9,3,5,9
69,電資AI,111598220,蹫峝賗,by71kta5v1,3,3,8,1,0,9,6,2,7,8
70,電資資安,111C71401,諺綑鸕,sv8astt6puj,1,4,4,2,4,9,8,8,5,7
71,創新AI,111590937,鮪醆鞫,ehg2ofjhq4,0,4,1,6,5,5,5,6,2,6
72,電資AI,112C71874,犳穵诐,upzq68iio6i,3,3,9,0,7,6,1,1,4,9
73,電資AI,111C53509,輠猉潺,pmseeh85irf,6,6,0,9,0,9,0,3,2,3
74,資工所,112598288,饑振殯,0oxvvlu7rc,6,9,5,2,4,0,4,3,0,2
75,資工系,112598708,衉熭绿,idjuasdwrsf,4,6,6,8,2,5,2,8,4,8
76,資工所,111598779,鱜靛繹,9p0q7r8e4q,0,5,1,0,0,0,5,2,7,0
77,資工系,111C52591,鳡衹鑜,uqki8x4oov,6,2,0,7,0,2,2,0,6,2
78,電資資安,111C53643,勾拽繍,ahs7519xx8,0,4,0,7,5,2,8,5,5,1
79,電資AI,112598643,嫃末貒,tczy488fjci,4,5,5,9,3,6,5,9,8,5
80,電資AI,111C71711,悗唼痆,s7a9zxv920j,2,0,8,5,2,3,9,8,3,2
81,資工所,111C52454,菓鈖誉,z356vyilb3,9,9,5,6,8,7,1,7,7,5
82,資工系,111C71371,挝烆瀹,7zndppqjri,8,5,4,0,3,8,9,9,0,8
83,電資資安,111C53819,躓銔鑢,e6gqn5nprrg,9,0,3,8,8,5,1,3,1,3
84,資工所,112C53293,括诅骴,rp0ky83pos,2,9,7,6,9,4,3,8,7,8
85,電資AI,111C53321,襆騴旞,rife7qk7m8,2,1,9,1,6,5,6,8,0,0
86,資工所,11259021,銘矖炓,e0zqw4xx83,3,4,9,0,6,8,2,4,3,6
87,電資AI,112590845,炪炌肬,7ebh8j45ww,4,2,4,9,6,8,0,8,7,2
88,創新AI,111C53646,沾鵀崅,ylgsyyujdmi,8,0,7,4,4,5,5,9,0,9
89,創新AI,112C52332,譚覗攢,ts1d96dl1mh,2,7,6,5,1,9,9,6,5,5
90,資工系,111C53569,丆瀉泝,pk1p0b87t8,8,6,5,5,3,1,3,2,5,9
91,資工所,111C52369,媤脅紣,fmzmm5t37p,0,2,4,9,5,0,8,6,3,8
92,創新AI,112C53719,挭沐衏,klgyq4jliu,7,2,5,9,3,6,5,6,7,9
93,資工所,111590522,觰羦礙,ok5tjlazvv,6,1,8,3,2,5,4,3,1,4
94,資工所,111590898,巷碦寿,p5c6kwxu0j,0,9,7,7,0,6,7,9,9,0
95,電資AI,112C53248,矪喭播,khk59fv1jz,1,4,6,8,6,4,1,5,2,8
96,資工系,112C52121,鍊宣鏰,i2h0aviz8u,1,9,6,2,6,2,3,4,4,3
97,電資資安,111C71347,缂冡煅,fer0wgp7i9,4,5,1,3,7,7,1,5,5,3
98,資工系,112590403,朲蔩弅,hxrbwkgox4,4,3,7,5,2,3,1,8,9,6
99,電資資安,112598611,亡螨匴,yejfvej67n,6,6,6,6,3,2,8,2,7,9
100,創新AI,111C52943,獪堭稌,gjrvmzfgpb,2,3,2,4,5,6,4,7,0,9
101,電資資安,112590223,愵彇嘤,muyjurn9yg,2,6,0,0,0,3,6,2,0,8
102,資工系,112590971,紁鵃峒,ojht4f5awo,4,9,0,9,2,0,3,9,8,2
103,電資資安,111C71440,鬂爒旋,4020efcpekj,4,3,7,7,4,0,9,4,0,4
104,資工所,112C53456,弻荚穭,z6xma3r8x1,8,2,5,0,9,4,4,1,6,3
105,資工所,111C71169,贶紊穚,ssyvxlbr34j,5,6,3,6,0,7,5,1,0,8
106,資工所,111C52683,錱討箩,f5tjik3xyh,2,7,8,0,5,0,5,5,6,0
107,資工系,112598701,南必畄,qqg8tzidmt,8,4,1,8,7,6,1,6,6,6
108,電資AI,111C52330,生阻籐,9tij6ma0o9,4,6,8,0,9,2,6,9,7,5
109,電資資安,112590569,苊芏鹲,9q3p6bhhd5,8,5,7,8,0,7,5,6,9,9
110,電資AI,112590292,窩酝燸,ls7wk6f42f,8,3,5,5,9,9,9,8,7,0
111,創新AI,111C71510,鷬庡琴,aqcdxqhxqh,6,5,7,2,7,8,2,9,4,3
112,電資AI,111C52517,苻遵踣,0qlkhd1691,8,8,5,2,4,3,8,2,0,0
113,資工所,111C71542,摓鉏皩,3dpjna8rf4,2,9,0,2,4,4,8,1,8,9
114,資工所,111C52133,穇樔魡,jjk5ujxjnf,8,9,9,8,1,1,9,9,4,9
115,創新AI,112C71269,熾緞嵊,dl6qtvbhb8,3,2,3,9,8,0,9,4,5,3
116,電資資安,112598525,篏翘滾,zuukvfjwq5,3,8,4,2,3,0,8,9,0,8
117,創新AI,111C5354,旫夳辌,hb7c9rtur3l,0,3,6,1,0,7,5,8,7,2
118,電資資安,11259874,家鯈濇,tt8hjmo8y1,3,6,3,2,6,8,5,1,3,7
119,資工系,111C52958,葾渢锘,m59celv2ew,6,1,2,5,1,0,8,7,3,0
120,電資AI,111590328,檂薙艐,cgck14yg8k,6,3,1,6,8,1,3,7,1,7
